close,forward_return_1800s,forward_return_180s,forward_return_300s,forward_return_600s,forward_return_60s,forward_return_900s,futures_book_imbalance_10_mean,futures_book_imbalance_1_mean,futures_book_imbalance_20_mean,futures_book_imbalance_5_mean,futures_book_valid_seconds,futures_delta_qty,futures_delta_ratio,futures_microprice_mean,futures_spread_bps_mean,futures_total_qty,high,low,open,symbol,three_minute_epoch,three_minute_utc,trade_count
0.08439,,0.0,,,,-0.00011849745230485542,0.019371946819976876,0.4336527570158532,0.08165984553665608,0.08846748361668,0,195803.0,0.10233650843427018,0.0843805015971184,1.1851383686031332,1913325.0,0.0844,0.08437,0.0844,B-DOGE_USDT,1789194240,2026-09-12T06:24:00+00:00,153
0.08439,,0.001184974523047666,,,,0.0014219694276571548,-0.07917702427806415,-0.2136347168212369,0.04459234961067879,-0.17472830938062622,0,4040902.0,0.11669923022847324,0.08436670960419367,1.1852867506089042,34626638.0,0.08441,0.08433,0.08439,B-DOGE_USDT,1789194420,2026-09-12T06:27:00+00:00,308
0.08449,,-0.0011835720203573485,,,,,0.12122674795706422,-0.0639176139741101,0.00855477680415552,0.055038545148710906,0,6721922.0,0.4973488232924726,0.0844724581897079,1.1838133489345506,13515508.0,0.0845,0.08439,0.08439,B-DOGE_USDT,1789194600,2026-09-12T06:30:00+00:00,343
0.08439,,-0.00023699490460959982,,,,,-0.22512367341720188,-0.45275405715933265,-0.11472290067347561,-0.2630595226777817,0,-2061607.0,-0.29653703284176763,0.08444190289638087,1.1842147523747089,6952275.0,0.08453,0.08439,0.08449,B-DOGE_USDT,1789194780,2026-09-12T06:33:00+00:00,316
0.08437,,0.00011852554225422196,,,,,-0.3584427643420373,-0.4162317801467319,-0.12452968803660251,-0.3673916174836025,0,-1292415.0,-0.2992516711150237,0.08439458550776595,1.1848809384153831,4318823.0,0.08441,0.08437,0.08439,B-DOGE_USDT,1789194960,2026-09-12T06:36:00+00:00,274
0.08438,,0.0015406494429959228,,,,,-0.2408544430731693,-0.397330800882568,-0.04992721301444836,-0.27399359085258307,0,426902.0,0.42031068779401426,0.08438134667932891,1.185068149277513,1015682.0,0.0844,0.08436,0.08437,B-DOGE_USDT,1789195140,2026-09-12T06:39:00+00:00,189
0.08451,,,,,,,0.03973669154320161,-0.44177371410935,-0.02438497149336848,-0.05840547889943778,0,4007158.0,0.8292235239389275,0.08444945779809614,1.1841096671273963,4832422.0,0.08451,0.08438,0.08438,B-DOGE_USDT,1789195320,2026-09-12T06:42:00+00:00,91
2510.44,-0.0003585028919234068,0.0001354344258377438,,,,6.77172129188719e-05,0.21374604483896234,0.20231749953737668,0.3108515422933877,0.20602795827272366,0,560.5030000000002,0.5694912808862275,2510.2096226986087,0.039837326642262354,984.2170000000001,2510.44,2509.88,2509.92,B-ETH_USDT,1789191720,2026-09-12T05:42:00+00:00,519
2510.78,0.00014736456399999653,0.0001792271724323502,,,,-0.00015931304216221243,0.42927551101338096,0.3658919190046404,0.4980265275689488,0.40470556521935297,0,-32.404000000000025,-0.026018699032930487,2510.766329459595,0.03982850654964268,1245.412,2510.98,2510.43,2510.44,B-ETH_USDT,1789191900,2026-09-12T05:45:00+00:00,607
2511.23,3.58390111618867e-05,-3.185689881046727e-05,,,,-0.0003384795498619919,0.46907689819309867,0.6076626715710408,0.3158706535041886,0.5010572459432827,0,233.447,0.38032638923961454,2511.0524827578024,0.03982398695907003,613.8069999999998,2511.24,2510.77,2510.78,B-ETH_USDT,1789192080,2026-09-12T05:48:00+00:00,504
2511.15,-5.5751348983501536e-05,-3.9822392131072526e-05,,,,-0.0004937976624256324,-0.15900463017000702,-0.14050347379346081,-0.05138499320420009,-0.14856889380471147,0,57.982,0.08073193688701262,2511.1092974826315,0.03982302654869065,718.2039999999998,2511.32,2511.01,2511.23,B-ETH_USDT,1789192260,2026-09-12T05:51:00+00:00,489
